ogrodzenia
Nr	X	Y	Z	Hg	Hd
262	5804427.72	6423541.31	77.55
263	5804423.52	6423541.41	77.42
269	5804427.13	6423556.91	77.62
270	5804429.13	6423558.33	77.72
271	5804429.69	6423561.18	77.67
272	5804428.49	6423562.95	77.68
282	5804430.05	6423569.80	77.81
283	5804430.87	6423573.19	77.77
312	5804387.11	6423562.24	77.76
315	5804387.85	6423565.14	77.90
317	5804388.86	6423569.01	77.82
320	5804389.41	6423571.84	77.97
335	5804394.21	6423592.10	78.06
338	5804394.81	6423594.64	78.09
345	5804485.12	6423642.41	78.14
346	5804484.69	6423642.46	78.07
347	5804481.56	6423642.89	78.05
348	5804481.13	6423642.92	78.02
349	5804478.28	6423643.32	77.98
350	5804476.74	6423643.54	78.11
351	5804475.86	6423643.65	78.12
357	5804472.35	6423652.19	78.21
358	5804472.97	6423643.99	78.10
359	5804472.03	6423644.14	78.14
360	5804471.59	6423644.18	78.01
363	5804468.73	6423644.62	78.01
365	5804469.34	6423652.61	78.22
367	5804463.79	6423653.32	78.25
369	5804467.81	6423644.76	78.11
370	5804467.38	6423644.85	78.04
371	5804464.01	6423645.30	78.11
372	5804463.09	6423645.38	78.18
373	5804461.78	6423645.55	78.22
375	5804443.57	6423656.24	78.34
377	5804436.75	6423657.13	78.42
383	5804434.42	6423657.46	78.36
384	5804433.02	6423657.61	78.42
385	5804432.40	6423657.71	78.36
386	5804429.31	6423658.13	78.40
387	5804428.37	6423658.28	78.49
388	5804425.25	6423658.73	78.51
389	5804424.08	6423658.93	78.48
390	5804424.15	6423660.06	78.50
391	5804422.42	6423660.64	78.73
392	5804421.93	6423659.27	78.51
393	5804420.45	6423659.38	78.41
394	5804417.57	6423659.85	78.45
395	5804416.60	6423659.96	78.42
396	5804413.98	6423660.30	78.43
397	5804411.87	6423660.60	78.51
398	5804410.77	6423660.71	78.52
399	5804410.16	6423660.80	78.61

chodnik
Nr	X	Y	Z	Hg	Hd
28	5804565.91	6423413.86	76.88
29	5804565.69	6423414.02	76.88
30	5804563.74	6423411.77	76.88
31	5804563.97	6423411.62	76.88
32	5804534.52	6423375.51	76.56
33	5804534.00	6423375.93	76.48
34	5804533.22	6423374.95	76.59
35	5804533.68	6423374.54	76.53
37	5804530.59	6423370.52	76.63
38	5804530.11	6423370.84	76.59
39	5804528.13	6423368.25	76.59
40	5804528.43	6423367.81	76.65
77	5804614.43	6423644.45	78.58
78	5804612.82	6423644.19	78.42
87	5804587.47	6423635.25	78.53
88	5804587.74	6423637.25	78.58
90	5804594.53	6423638.09	78.60
93	5804588.46	6423631.09	78.53
94	5804588.28	6423629.03	78.55
95	5804603.00	6423629.25	78.40
96	5804602.69	6423627.32	78.58
100	5804610.70	6423624.65	78.38
